initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1.0,norm_branch2.0,norm_branch3.0,norm_var_norm_branch1.0,norm_var_norm_branch2.0,norm_var_norm_branch3.0,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,branch1.0FLOPS,branch2.0FLOPS,branch3.0FLOPS,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.32756998065229165,0.34131718583708853,0.33111283351061976,0.016525111105580473,0.008104249984532247,0.012962704328405949,0.012530688472839556,89.27244444444445,92.28933333333333,0.012544,0.012544,0.012544,9.674
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.320664913551625,0.3501724047655349,0.32916268168284013,0.015433072787371976,0.006822085985966327,0.010696199034530047,0.010983785935956116,87.77544444444445,91.56933333333333,0.012544,0.012544,0.012544,9.674
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.31967041960467557,0.3561383248874194,0.32419125550790506,0.018416290999344286,0.007349332024869719,0.012712215317970892,0.012825946114061633,86.28877777777778,90.94800000000001,0.012544,0.012544,0.012544,9.674
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.32841921157862264,0.3418204814958783,0.3297603069254991,0.015386068833840924,0.008355687827491663,0.012684683389214486,0.01214214668351569,89.07111111111111,93.72533333333334,0.012544,0.012544,0.012544,9.674
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3209667337886812,0.3488881381763616,0.33014512803495716,0.016286182014904636,0.007101631636058253,0.012947643047586103,0.012111818899516331,87.95511111111111,92.85466666666666,0.012544,0.012544,0.012544,9.674
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3187855019138449,0.35810707660612945,0.32310742148002564,0.016520841625540062,0.0064045396258526725,0.00952825057821671,0.010817877276536483,86.79288888888888,91.886,0.012544,0.012544,0.012544,9.674
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.329065992209111,0.3297974696977041,0.3411365380931849,0.015318660424062326,0.011387695815541346,0.018084702118648804,0.014930352786084159,89.98155555555556,93.01666666666667,0.012544,0.012544,0.012544,9.674
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3320550593885141,0.33601587050087084,0.33192907011061507,0.017203024219631994,0.010092878718407278,0.013052332610298669,0.01344941184944598,88.39755555555556,92.22133333333333,0.012544,0.012544,0.012544,9.674
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3274219402827975,0.3470946470855941,0.3254834126316084,0.02041040707606382,0.009791288797858386,0.012774643147093766,0.014325446340338657,86.38377777777778,91.46266666666666,0.012544,0.012544,0.012544,9.674
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3407462890136245,0.31911028352992327,0.34014342745645226,0.016373253772971157,0.012263271136903921,0.018014912980453438,0.015550479296776172,89.90911111111112,94.48866666666666,0.012544,0.012544,0.012544,9.674
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.32898746637242954,0.3335372282292381,0.3374753053983323,0.013512002379418905,0.010792833889458264,0.014946836810837312,0.013083891026571494,88.52322222222223,93.73666666666666,0.012544,0.012544,0.012544,9.674
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3239357066383868,0.34572181795811274,0.3303424754035005,0.016748652818735867,0.01012081768612245,0.011512248295137115,0.012793906266665142,87.18144444444445,92.54933333333334,0.012544,0.012544,0.012544,9.674
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3255449221123177,0.32647596935803924,0.34797910852964303,0.01990833868439022,0.0161274220087457,0.02437351183102919,0.020136424174721706,89.81111111111112,92.08533333333334,0.012544,0.012544,0.012544,9.674
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3302202503196984,0.328479568755354,0.3413001809249475,0.015340699922757798,0.009214775745171372,0.013791801227838171,0.012782425631922447,88.30255555555556,91.27533333333334,0.012544,0.012544,0.012544,9.674
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.32555058451069396,0.3412851645589113,0.33316425093039476,0.01762111382923983,0.008303092083915192,0.012073437413400622,0.012665881108851881,86.28133333333334,91.30266666666667,0.012544,0.012544,0.012544,9.674
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.340285717677588,0.31941691074700235,0.34029737157540974,0.01704376432284957,0.010226703467350811,0.015466681946199691,0.014245716578800022,89.85422222222222,94.356,0.012544,0.012544,0.012544,9.674
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.32984072931969205,0.33514910937163517,0.3350101613086727,0.023158497729781343,0.013591078603504149,0.019760863274666866,0.018836813202650782,88.52133333333333,93.878,0.012544,0.012544,0.012544,9.674
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.330256784203752,0.3368850799011136,0.3328581358951344,0.01741106072856003,0.00971419011562856,0.012729804688668108,0.013285018510952233,87.16822222222223,92.50933333333334,0.012544,0.012544,0.012544,9.674
