initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,std_norm_conv1x1,std_norm_conv1x1_3x3,std_norm_conv1x1_5x5,avg_std,train accuracy epoch0,test accuracy epoch0,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.1920496355084695,0.2704295023234239,0.5375208621681066,0.04645759652331838,0.1512492233703928,0.1639363492856239,0.12054772305977834,92.02955555555556,93.44333333333334,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.18721178652377485,0.30934394663526266,0.5034442668409624,0.037042239862481924,0.14739540136549859,0.15611391528639784,0.11351718550479278,91.00655555555555,93.68866666666666,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.21298520094849835,0.3087281530581831,0.47828664599331855,0.040025627678208275,0.13132858385897608,0.14914500248096893,0.10683307133938443,89.63033333333333,93.46733333333333,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.18060459892625588,0.2756950314398349,0.5437003696339091,0.034498196196039554,0.14116755833114403,0.15284973769225688,0.10950516407314681,92.0951111111111,95.51266666666668,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.17603297540007581,0.30509784268116447,0.5188691819187597,0.04481845633894146,0.13810815467507567,0.15079635689153503,0.11124098930185072,91.35922222222221,95.52399999999999,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.199399021867261,0.3023269547217058,0.4982740234110332,0.04229312951633963,0.13934634346868077,0.15445772497867233,0.11203239932123092,90.03044444444444,94.718,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.26889477837968734,0.24211653533096375,0.48898868628934894,0.08586712444897404,0.19077271034004142,0.19752912465924105,0.1580563198160855,91.61511111111112,92.62533333333334,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.22520796669970544,0.30864052994610996,0.4661515033541846,0.047967289155369325,0.17174445302983513,0.18619108088948727,0.13530094102489723,90.93866666666666,93.82199999999999,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.25032927304478264,0.33753620122009065,0.4121345257351267,0.05978694278892811,0.15720650557572424,0.17287143886256726,0.1299549624090732,89.59777777777778,93.33,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.268649430316199,0.24989653076530466,0.4814540389184963,0.06286863727048508,0.1624176332496118,0.17336422215081032,0.13288349755696907,91.68311111111112,95.15666666666667,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.22836024836462485,0.3124066317872278,0.4592331198481474,0.06616680259036765,0.17183518209454535,0.19456893549531476,0.1441903067267426,91.29266666666668,95.22066666666666,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.2402327264585275,0.3261945467733016,0.4335727267681708,0.05362474946310326,0.16359795895841725,0.18492470182250492,0.13404913674800847,90.13655555555556,94.89866666666667,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.34472398016561717,0.229618459877551,0.42565755995683185,0.09959216631622317,0.18940535196005145,0.1942554601511067,0.16108432614246046,91.09611111111111,92.09400000000001,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.2565417841045174,0.3071214417840842,0.43633677411139843,0.06321251283055083,0.1749551502841328,0.1847116512301581,0.14095977144828056,90.68344444444443,92.96000000000001,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.25641936790742464,0.3438371698560379,0.3997434622365375,0.05814918847385532,0.15601161196475866,0.17607864872924006,0.13007981638928467,89.37122222222223,93.144,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.35270610096991795,0.23014140517163428,0.4171524938584478,0.10349245237860258,0.16540473655420873,0.1906328209999586,0.15317666997758997,91.19722222222222,94.74666666666667,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.2681542515995064,0.30374327318602024,0.42810247521447337,0.0797806291678648,0.1600858467761062,0.19484397919928156,0.14490348504775086,90.96355555555556,95.048,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.25799104825610447,0.33966023886544894,0.40234871287844665,0.06347586832744452,0.16516023576058678,0.18514896161600447,0.13792835523467858,90.03488888888889,94.92266666666666,0.012544,0.909,2.515,13.274
